zip_code,base_year,city,county,current_home_value,home_value_1yr_growth_pct,home_value_3yr_growth_pct,median_household_income,median_gross_rent,population,population_growth_pct,unemployment_rate,bachelor_degree_pct,mortgage_rate,price_to_income_ratio,price_to_rent_ratio,housing_units,zori_rent,zori_rent_available,inventory_per_1k_housing_units,new_listings_per_1k_housing_units,price_cut_pct,list_to_value_ratio,listings_available,is_growth_outlier,is_value_outlier,future_5yr_home_value,future_5yr_growth_pct
90011,2016,Los Angeles,Los Angeles County,292266.87973451917,9.888329460845945,30.8748059029202,31684.0,1011.0,104762.0,3.190410054864423,8.658772874058126,3.5794877095068296,3.6540384615384616,9.22443125030044,24.09057696459934,24511.0,,0,,,,,0,0,0,554428.3900762055,89.6993564853537
90650,2016,Norwalk,Los Angeles County,395687.2039961172,6.299278267557429,17.630681020778294,61050.0,1384.0,106360.0,0.9606257356570502,7.951167307463633,15.972673080328159,3.6540384615384616,6.481362882819283,23.825096579727674,28528.0,,0,,,,,0,0,0,659410.7855949489,66.64950974796231
91331,2016,Los Angeles,Los Angeles County,353540.0796311361,8.686714100052416,24.36903814677138,53714.0,1315.0,101536.0,4.114926735231683,11.787630723434257,10.359076660017099,3.6540384615384616,6.5818981947189945,22.404314298551082,23277.0,,0,,,,,0,0,0,631069.4398579285,78.50011249540675
90044,2016,Los Angeles,Los Angeles County,320546.1185688016,8.866282759246458,28.783960912331285,30288.0,988.0,90155.0,2.258291366090459,11.731611832724068,7.367630491926398,3.6540384615384616,10.583271215293239,27.036615938664102,29458.0,,0,,,,,0,0,0,614314.2193321238,91.64612632808036
92336,2016,Fontana,San Bernardino County,387365.9479372786,4.089766525695793,17.91983599887783,85027.0,1677.0,92306.0,4.1005977218901535,9.475899810566196,23.223777381324602,3.6540384615384616,4.5557993100694905,19.248953882790627,23909.0,,0,,,,,0,0,0,623872.1505051492,61.054980136293516
94565,2016,Pittsburg,Contra Costa County,378536.6803059984,11.346641090117782,49.4940750520406,60020.0,1407.0,91323.0,8.000425743276796,12.025207553662838,18.422720709934147,3.6540384615384616,6.306842390969651,22.419846026178536,28648.0,1543.799631649463,1,,,,,0,0,0,598014.6042931365,57.980622593751896
92335,2016,Fontana,San Bernardino County,267534.51915445883,6.993310298935551,27.379005107659825,43444.0,1031.0,99079.0,1.335747087641792,12.542327570842987,7.275158213744541,3.6540384615384616,6.158146560041866,21.62419327145642,25354.0,,0,,,,,0,0,0,476643.12132742815,78.16135384467611
90201,2016,Bell,Los Angeles County,339614.4238763849,6.66699863271536,21.304028944219723,38244.0,1112.0,102786.0,1.1832572058591895,11.19464447870251,5.971362362950922,3.6540384615384616,8.88020144013139,25.450721213757863,24753.0,,0,,,,,0,0,0,586789.2227156196,72.78100736063054
90250,2016,Hawthorne,Los Angeles County,490143.0212804479,7.690151472813467,15.532875588464545,47076.0,1084.0,96987.0,4.114691800674142,9.38270638431127,19.931465886498458,3.6540384615384616,10.411738917504628,37.680121562150056,33367.0,1358.8794276661852,1,,,,,0,0,0,851860.7389780711,73.79840209754964
90805,2016,Long Beach,Los Angeles County,353513.5923863948,7.20985481938865,20.01062608242883,45878.0,1081.0,95808.0,3.4342038498494043,13.857336611002797,11.821590684823367,3.6540384615384616,7.7055144597932514,27.252049983533364,27597.0,1215.5691579802467,1,,,,,0,0,0,630338.9778364622,78.30685761793674
